dt,humidity,pressure,temp,temp_max,temp_min,description,icon,id,main,wind_deg,wind_speed
1553789819,38,1031,289.61,290.37,288.71,"clear sky",01d,800,Clear,230,3.6
1553793515,38,1031,288.88,289.82,288.15,"clear sky",01d,800,Clear,220,4.6
1553797120,44,1031,286.97,288.71,283.71,"clear sky",01d,800,Clear,220,3.6
1553800730,58,1031,284.03,285.93,280.93,"clear sky",01n,800,Clear,210,2.6
1553804319,66,1031,282.95,283.71,282.04,"clear sky",01n,800,Clear,200,2.6
1553807826,66,1031,281.46,283.15,277.59,"clear sky",01n,800,Clear,220,2.6
1553811516,66,1030,280.35,282.15,276.48,"clear sky",01n,800,Clear,230,3.1
1553815122,66,1030,279.81,282.15,275.93,"clear sky",01n,800,Clear,220,2.1
1553818718,70,1030,278.86,281.15,276.48,"clear sky",01n,800,Clear,250,2.1
1553822328,70,1029,278.79,281.15,276.48,"clear sky",01n,800,Clear,250,3.1
1553825929,86,1029,276.35,277.15,275.15,"clear sky",01n,800,Clear,280,4.6
1553829529,86,1029,276.51,278.71,274.26,"clear sky",01n,800,Clear,270,3.6
1553833125,87,1029,276.58,279.15,273.71,"clear sky",01n,800,Clear,250,3.6
1553836561,87,1028,276.03,279.15,273.15,"clear sky",01n,800,Clear,250,3.1
1553840317,100,1028,275.69,278.15,273.15,"few clouds",02d,801,Clouds,280,5.1
1553843926,93,1028,276.77,279.15,274.26,"few clouds",02d,801,Clouds,210,2.1
1553847344,87,1028,279.6,280.93,277.15,"scattered clouds",03d,802,Clouds,NULL,1.5
1553850964,87,1028,280.57,282.59,279.15,"broken clouds",04d,803,Clouds,270,2.1
1553854734,81,1028,281.36,284.82,278.15,"broken clouds",04d,803,Clouds,200,2.1
1553858157,76,1028,283.2,285.37,282.04,"broken clouds",04d,803,Clouds,190,2.6
1553861841,71,1027,284.76,285.93,283.71,"few clouds",02d,801,Clouds,210,3.1
1553865519,66,1026,284.95,285.15,284.82,"few clouds",02d,801,Clouds,310,2.6
1553869112,71,1026,285.66,286.15,284.82,"few clouds",02d,801,Clouds,140,3.1
1553872739,71,1025,285.88,287.04,284.15,"few clouds",02d,801,Clouds,140,3.6
1553876322,71,1024,285.99,287.04,284.15,"few clouds",02d,801,Clouds,130,4.1
1553879913,76,1024,285.69,287.04,283.71,"few clouds",02d,801,Clouds,150,4.1
1553883410,81,1023,284.23,285.37,283.15,"scattered clouds",03d,802,Clouds,120,2.1
1553887124,81,1023,282.09,283.71,280.15,"scattered clouds",03n,802,Clouds,NULL,1
1553890724,86,1023,280.18,282.15,278.15,"scattered clouds",03n,802,Clouds,100,1.5
1553894191,93,1023,279.4,281.48,277.59,"scattered clouds",03n,802,Clouds,200,0.5
1553897916,93,1022,278.85,280.37,277.04,"scattered clouds",03n,802,Clouds,360,0.5
1553901524,93,1022,277.86,279.26,276.48,"scattered clouds",03n,802,Clouds,270,1.5
1553905113,87,1022,278.52,280.15,275.93,"broken clouds",04n,803,Clouds,260,3.1
1553908716,87,1022,279.5,281.15,275.93,"broken clouds",04n,803,Clouds,250,3.6
1553912317,87,1021,279.6,281.48,276.48,"broken clouds",04n,803,Clouds,240,3.6
1553915924,87,1021,279.05,280.37,277.04,"broken clouds",04n,803,Clouds,250,3.1
1553919515,87,1021,278.99,280.15,277.59,"broken clouds",04n,803,Clouds,250,3.6
1553923123,93,1021,278.74,279.82,277.59,"broken clouds",04n,803,Clouds,260,3.6
1553926718,93,1021,278.17,279.26,277.15,"broken clouds",04d,803,Clouds,260,3.1
1553930321,93,1021,279.02,280.37,277.59,"broken clouds",04d,803,Clouds,260,3.1
